Code;Company;Link;"""Market Cap""";"""Last trade""";Change;%Change;Sector;ZW1;ZW2;Ticker JSE;Ticker;Ticker Yahoo
JSE:4SI;"""4Sight Holdings Limited (JSE:4SI)""";https://www.listcorp.com/jse/4si/4sight-holdings-limited;"""	385197000""";0,7;0;0;Financials;"(JSE:4SI)""";(JSE:4SI;JSE:4SI;4SI;4SI.JO
JSE:ABG;"""Absa Group Limited (JSE:ABG)""";https://www.listcorp.com/jse/abg/absa-group-limited;"""	155076000000""";173,19;-0,21;-0,12;Financials;"(JSE:ABG)""";(JSE:ABG;JSE:ABG;ABG;ABG.JO
JSE:APF;"""Accelerate Property Fund Ltd (JSE:APF)""";https://www.listcorp.com/jse/apf/accelerate-property-fund-ltd;"""	1085790000""";0,59;0;0;Financials;"(JSE:APF)""";(JSE:APF;JSE:APF;APF;APF.JO
JSE:ACS;"""Acsion Limited (JSE:ACS)""";https://www.listcorp.com/jse/acs/acsion-limited;"""	3266320000""";7,9;-0,37;-4,47;Financials;"(JSE:ACS)""";(JSE:ACS;JSE:ACS;ACS;ACS.JO
JSE:AIP;"""Adcock Ingram Holdings (JSE:AIP)""";https://www.listcorp.com/jse/aip/adcock-ingram-holdings;"""	7984350000""";49,37;-0,13;-0,26;"""Health Care""";"(JSE:AIP)""";(JSE:AIP;JSE:AIP;AIP;AIP.JO
JSE:ADR;"""Adcorp Holdings Limited (JSE:ADR)""";https://www.listcorp.com/jse/adr/adcorp-holdings-limited;"""	714226000""";6,5;0;0;Industrials;"(JSE:ADR)""";(JSE:ADR;JSE:ADR;ADR;ADR.JO
JSE:ADH;"""ADvTECH Limited (JSE:ADH)""";https://www.listcorp.com/jse/adh/advtech-limited;"""	17276900000""";31,47;0,31;0,99;"""Consumer Services""";"(JSE:ADH)""";(JSE:ADH;JSE:ADH;ADH;ADH.JO
JSE:AFE;"""AECI Limited (JSE:AFE)""";https://www.listcorp.com/jse/afe/aeci-limited;"""	10973800000""";103,5;-0,5;-0,48;"""Basic Materials""";"(JSE:AFE)""";(JSE:AFE;JSE:AFE;AFE;AFE.JO
JSE:AON;"""African and Overseas Enterprises - N Shares (JSE:AON)""";https://www.listcorp.com/jse/aon/african-and-overseas-enterprises-n;"""	163551000""";16;0;0;"""Consumer Services""";"(JSE:AON)""";(JSE:AON;JSE:AON;AON;AON.JO
JSE:AOO;"""African and Overseas Enterprises Limited (JSE:AOO)""";https://www.listcorp.com/jse/aoo/african-and-overseas-enterprises-limited;"""	26304700""";16,25;0;0;"""Consumer Services""";"(JSE:AOO)""";(JSE:AOO;JSE:AOO;AOO;AOO.JO
JSE:ADW;"""African Dawn Capital (JSE:ADW)""";https://www.listcorp.com/jse/adw/african-dawn-capital;"""	6616040""";0,09;0;0;Financials;"(JSE:ADW)""";(JSE:ADW;JSE:ADW;ADW;ADW.JO
JSE:AME;"""African Media Entertainment (JSE:AME)""";https://www.listcorp.com/jse/ame/african-media-entertainment;"""	345786000""";49,9;0;0;"""Consumer Services""";"(JSE:AME)""";(JSE:AME;JSE:AME;AME;AME.JO
JSE:ARI;"""African Rainbow Minerals (JSE:ARI)""";https://www.listcorp.com/jse/ari/african-rainbow-minerals;"""	37642800000""";168,78;-1,22;-0,72;"""Basic Materials""";"(JSE:ARI)""";(JSE:ARI;JSE:ARI;ARI;ARI.JO
JSE:AFT;"""Afrimat Limited (JSE:AFT)""";https://www.listcorp.com/jse/aft/afrimat-limited;"""	7315980000""";46,3;0,66;1,45;Industrials;"(JSE:AFT)""";(JSE:AFT;JSE:AFT;AFT;AFT.JO
