,Ticker,Name,Währung,Börse,Sektor,Branche
0,A,"Agilent Technologies, Inc.",USD,NYQ,Healthcare,Diagnostics & Research
1,AABA,N/A,N/A,N/A,N/A,N/A
2,AAL,American Airlines Group Inc.,USD,NMS,Industrials,Airlines
3,AAL,American Airlines Group Inc.,USD,NMS,Industrials,Airlines
4,AAMRQ,N/A,N/A,YHD,N/A,N/A
5,AAP,"Advance Auto Parts, Inc.",USD,NYQ,Consumer Cyclical,Auto Parts
6,AAPL,Apple Inc.,USD,NMS,Technology,Consumer Electronics
7,ABBV,AbbVie Inc.,USD,NYQ,Healthcare,Drug Manufacturers - General
8,ABC,N/A,N/A,N/A,N/A,N/A
9,ABI,VictoryShares Pioneer Asset-Based Inc ETF,USD,NGM,,
10,ABKFQ,N/A,N/A,N/A,N/A,N/A
11,ABMD,N/A,N/A,N/A,N/A,N/A
12,ABNB,"Airbnb, Inc.",USD,NMS,Consumer Cyclical,Travel Services
13,ABS,N/A,N/A,YHD,N/A,N/A
14,ABT,Abbott Laboratories,USD,NYQ,Healthcare,Medical Devices
15,ABX,Barrick Gold Corporation,N/A,YHD,N/A,N/A
16,ACAS,N/A,N/A,YHD,N/A,N/A
17,ACGL,Arch Capital Group Ltd.,USD,NMS,Financial Services,Insurance - Diversified
18,ACKH,N/A,N/A,N/A,N/A,N/A
19,ACN,Accenture plc,USD,NYQ,Technology,Information Technology Services
20,ACS,N/A,N/A,YHD,N/A,N/A
21,ACV,Virtus Diversified Income & Convertible Fund,USD,NYQ,Financial Services,Asset Management
22,ADBE,Adobe Inc.,USD,NMS,Technology,Software - Application
23,ADCT,ADC Therapeutics SA,USD,NYQ,Healthcare,Biotechnology
24,ADI,"Analog Devices, Inc.",USD,NMS,Technology,Semiconductors
25,ADM,Archer-Daniels-Midland Company,USD,NYQ,Consumer Defensive,Farm Products
26,ADP,"Automatic Data Processing, Inc.",USD,NMS,Technology,Software - Application
27,ADS,N/A,N/A,N/A,N/A,N/A
28,ADSK,"Autodesk, Inc.",USD,NMS,Technology,Software - Application
29,ADT,ADT Inc.,USD,NYQ,Industrials,Security & Protection Services
30,AEE,Ameren Corporation,USD,NYQ,Utilities,Utilities - Regulated Electric
31,AEP,"American Electric Power Company, Inc.",USD,NMS,Utilities,Utilities - Regulated Electric
32,AES,The AES Corporation,USD,NYQ,Utilities,Utilities - Diversified
33,AET,Aetna Inc.,N/A,YHD,N/A,N/A
34,AFL,Aflac Incorporated,USD,NYQ,Financial Services,Insurance - Life
35,AFS.A,N/A,N/A,N/A,N/A,N/A
36,AGC,N/A,N/A,N/A,N/A,N/A
37,AGN,N/A,N/A,N/A,N/A,N/A
38,AHM,N/A,N/A,N/A,N/A,N/A
39,AIG,"American International Group, Inc.",USD,NYQ,Financial Services,Insurance - Diversified
40,AIT,"Applied Industrial Technologies, Inc.",USD,NYQ,Industrials,Industrial Distribution
41,AIV,Apartment Investment and Management Company,USD,NYQ,Real Estate,REIT - Residential
42,AIZ,"Assurant, Inc.",USD,NYQ,Financial Services,Insurance - Property & Casualty
43,AJG,Arthur J. Gallagher & Co.,USD,NYQ,Financial Services,Insurance Brokers
