;Ticker;Name;Währung;Börse;Sektor;Branche
0;4SI.JO;4Sight Holdings Limited;ZAc;JNB;Technology;Information Technology Services
1;ABG.JO;Absa Group Limited;ZAc;JNB;Financial Services;Banks - Regional
2;APF.JO;Accelerate Property Fund Limited;ZAc;JNB;Real Estate;REIT - Retail
3;ACS.JO;Acsion Limited;ZAc;JNB;Real Estate;Real Estate - Development
4;AIP.JO;Adcock Ingram Holdings Limited;ZAc;JNB;Healthcare;Drug Manufacturers - Specialty & Generic
5;ADR.JO;Adcorp Holdings Limited;ZAc;JNB;Industrials;Staffing & Employment Services
6;ADH.JO;ADvTECH Limited;ZAc;JNB;Consumer Defensive;Education & Training Services
7;AFE.JO;AECI Ltd;ZAc;JNB;Basic Materials;Specialty Chemicals
8;AON.JO;African and Overseas Enterprises Limited;ZAc;JNB;Consumer Cyclical;Apparel Retail
9;AOO.JO;African and Overseas Enterprises Limited;ZAc;JNB;Consumer Cyclical;Apparel Retail
10;ADW.JO;African Dawn Capital Limited;ZAc;JNB;Financial Services;Credit Services
11;AME.JO;African Media Entertainment Limited;ZAc;JNB;Communication Services;Broadcasting
12;ARI.JO;African Rainbow Minerals Limited;ZAc;JNB;Basic Materials;Other Industrial Metals & Mining
13;AFT.JO;Afrimat Limited;ZAc;JNB;Basic Materials;Building Materials
14;ACT.JO;AfroCentric Investment Corporation Limited;ZAc;JNB;Healthcare;Medical Care Facilities
15;AHL.JO;AH-Vest Limited;ZAc;JNB;Consumer Defensive;Packaged Foods
16;AFH.JO;Alexander Forbes Group Holdings Limited;ZAc;JNB;Financial Services;Financial Conglomerates
17;AEL.JO;Altron Limited;ZAc;JNB;Technology;Information Technology Services
18;APH.JO;Alphamin Resources Corp.;ZAc;JNB;Basic Materials;Other Industrial Metals & Mining
19;AGL.JO;Anglo American plc;ZAc;JNB;Basic Materials;Other Industrial Metals & Mining
20;ANG.JO;AngloGold Ashanti plc;ZAc;JNB;Basic Materials;Gold
21;ANH.JO;Anheuser-Busch InBev SA/NV;ZAc;JNB;Consumer Defensive;Beverages - Brewers
22;ACL.JO;ArcelorMittal South Africa Limited;ZAc;JNB;Basic Materials;Steel
23;ART.JO;Argent Industrial Limited;ZAc;JNB;Basic Materials;Steel
24;AHA.JO;N/A;N/A;N/A;N/A;N/A
25;AHB.JO;N/A;N/A;N/A;N/A;N/A
26;ASC.JO;Ascendis Health Limited;ZAc;JNB;Healthcare;Medical Distribution
27;APN.JO;Aspen Pharmacare Holdings Limited;ZAc;JNB;Healthcare;Drug Manufacturers - Specialty & Generic
28;ARA.JO;Astoria Investments Ltd;ZAc;JNB;Financial Services;Asset Management
29;ARL.JO;Astral Foods Limited;ZAc;JNB;Consumer Defensive;Farm Products
30;ATT.JO;Attacq Limited;ZAc;JNB;Real Estate;REIT - Diversified
31;AEG.JO;Aveng Limited;ZAc;JNB;Industrials;Engineering & Construction
32;AVI.JO;AVI Limited;ZAc;JNB;Consumer Defensive;Packaged Foods
33;AYO.JO;AYO Technology Solutions Limited;ZAc;JNB;Technology;Information Technology Services
34;BWN.JO;Balwin Properties Limited;ZAc;JNB;Real Estate;Real Estate - Development
35;BAW.JO;Barloworld Limited;ZAc;JNB;;
36;BEL.JO;Bell Equipment Limited;ZAc;JNB;Industrials;Farm & Heavy Construction Machinery
37;BHG.JO;BHP Group Limited;ZAc;JNB;Basic Materials;Other Industrial Metals & Mining
38;BID.JO;Bid Corporation Limited;ZAc;JNB;Consumer Defensive;Food Distribution
39;BVT.JO;The Bidvest Group Limited;ZAc;JNB;Industrials;Conglomerates
