,Ticker,Name,Währung,Börse,Sektor,Branche
0,A,"Agilent Technologies, Inc.",USD,NYQ,Healthcare,Diagnostics & Research
1,AABA,N/A,N/A,N/A,N/A,N/A
2,AAL,American Airlines Group Inc.,USD,NMS,Industrials,Airlines
3,AAMRQ,N/A,N/A,YHD,N/A,N/A
4,AAP,"Advance Auto Parts, Inc.",USD,NYQ,Consumer Cyclical,Auto Parts
5,AAPL,Apple Inc.,USD,NMS,Technology,Consumer Electronics
6,ABBV,AbbVie Inc.,USD,NYQ,Healthcare,Drug Manufacturers - General
7,ABC,N/A,N/A,N/A,N/A,N/A
8,ABI,VictoryShares Pioneer Asset-Based Inc ETF,USD,NGM,N/A,N/A
9,ABKFQ,N/A,N/A,N/A,N/A,N/A
10,ABMD,N/A,N/A,N/A,N/A,N/A
11,ABNB,"Airbnb, Inc.",USD,NMS,Consumer Cyclical,Travel Services
12,ABS,N/A,N/A,YHD,N/A,N/A
13,ABT,Abbott Laboratories,USD,NYQ,Healthcare,Medical Devices
14,ABX,Barrick Gold Corporation,N/A,YHD,N/A,N/A
15,ACAS,N/A,N/A,YHD,N/A,N/A
16,ACGL,Arch Capital Group Ltd.,USD,NMS,Financial Services,Insurance - Diversified
17,ACKH,N/A,N/A,N/A,N/A,N/A
18,ACN,Accenture plc,USD,NYQ,Technology,Information Technology Services
19,ACS,N/A,N/A,YHD,N/A,N/A
20,ACV,Virtus Diversified Income & Convertible Fund,USD,NYQ,Financial Services,Asset Management
21,ADBE,Adobe Inc.,USD,NMS,Technology,Software - Application
22,ADCT,ADC Therapeutics SA,USD,NYQ,Healthcare,Biotechnology
23,ADI,"Analog Devices, Inc.",USD,NMS,Technology,Semiconductors
24,ADM,Archer-Daniels-Midland Company,USD,NYQ,Consumer Defensive,Farm Products
25,ADP,"Automatic Data Processing, Inc.",USD,NMS,Technology,Software - Application
26,ADS,N/A,N/A,N/A,N/A,N/A
27,ADSK,"Autodesk, Inc.",USD,NMS,Technology,Software - Application
28,ADT,ADT Inc.,USD,NYQ,Industrials,Security & Protection Services
29,AEE,Ameren Corporation,USD,NYQ,Utilities,Utilities - Regulated Electric
30,AEP,"American Electric Power Company, Inc.",USD,NMS,Utilities,Utilities - Regulated Electric
31,AES,The AES Corporation,USD,NYQ,Utilities,Utilities - Diversified
32,AET,Aetna Inc.,N/A,YHD,N/A,N/A
33,AFL,Aflac Incorporated,USD,NYQ,Financial Services,Insurance - Life
34,AFS.A,N/A,N/A,N/A,N/A,N/A
35,AGC,N/A,N/A,N/A,N/A,N/A
36,AGN,N/A,N/A,N/A,N/A,N/A
37,AHM,N/A,N/A,N/A,N/A,N/A
38,AIG,"American International Group, Inc.",USD,NYQ,Financial Services,Insurance - Diversified
39,AIT,"Applied Industrial Technologies, Inc.",USD,NYQ,Industrials,Industrial Distribution
40,AIV,Apartment Investment and Management Company,USD,NYQ,Real Estate,REIT - Residential
41,AIZ,"Assurant, Inc.",USD,NYQ,Financial Services,Insurance - Property & Casualty
42,AJG,Arthur J. Gallagher & Co.,USD,NYQ,Financial Services,Insurance Brokers
43,AKAM,"Akamai Technologies, Inc.",USD,NMS,Technology,Software - Infrastructure
